Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
36,0,2,-1,12.576699626912118,26.0,1,0.4590058750361942,0.0,8.054833869858244,7.80710329012598,3.8918202981106265,9.563529246630083,6.478509642208569,7.618742377670413,7.3050762017272675,0.19978730538801062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,0,1,3,18.0,27.0,1,0.25090267685625506,0.0,6.647753222303665,7.4977617006225685,3.6109179126442243,8.962007209588313,8.9614943233096,0.0,9.36638924880135,0.09414950648357312,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24,0,2,0,11.0,34.0,1,0.13710188582055577,0.0,8.688703179931851,7.937374696163295,4.0943445622221,8.962007209588313,8.323851131338817,9.099967314494812,9.32828635702226,0.5657852887951065,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,3,-2,6.0,27.0,0,0.12800028472361616,0.08942113363900529,9.455001941207543,8.653121708640482,2.5649493574615367,10.060534035475412,2.1972245773362196,9.496721598694915,7.256414851687316,0.43551828650755237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
18,0,2,0,13.319992369973953,27.0,1,0.0878991178132148,0.16171965697011234,9.374142328043245,6.952087904021594,4.0943445622221,9.87822102528824,7.354362330421477,9.390325868972589,9.247282850576656,0.47252607021490034,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,0,1,15.363176092075983,27.0,1,0.05213455015267239,0.01533336781389125,9.032307007698005,7.1447622869555,2.833213344056216,10.53073528631916,9.061376218836225,10.247290000252185,10.30052278453709,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
36,1,4,-1,6.0,34.0,0,0.44499154375433075,0.0,9.783681534530082,5.929589143389895,3.4011973816621555,10.054103420843255,0.0,10.21189094780116,0.0,0.5670435621641859,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,2,0,6.0,43.0,1,0.09057352500040192,0.36894150115844365,7.970802564240041,7.669770656590832,5.375278407684165,7.75833346749091,0.0,7.930565854233965,0.0,0.8050596849845812,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,-1,11.0,27.0,0,0.10970617055142559,0.1335911052871067,10.013257233522507,8.04044688130311,4.04305126783455,10.571342565808699,6.20050917404269,10.04229251541331,7.258764201294243,0.45253442739363375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2
12,0,0,3,21.0,34.0,0,0.0,0.0,9.032307007698005,7.52131798019924,4.90527477843843,7.170888478512505,5.517452896464707,0.0,6.702983592941509,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
48,0,3,0,21.0,35.0,1,0.10240675760644569,0.5647454657554212,9.131175945167735,9.29228895462335,5.111987788356544,9.472781556562168,9.090317329376452,9.282381924841154,11.034201255031347,0.5368476936996065,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,1,-1,11.895906018697545,34.0,0,0.0,0.0,9.387462602334255,8.925587339030281,4.795790545596741,9.87822102528824,10.356058868071564,10.111192540161147,10.844887070486015,0.4775637295348242,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
18,0,1,0,12.0,35.0,0,0.09142943920132993,0.19420444233911807,8.017696485768967,7.203405521083095,3.4965075614664802,8.780018887869153,7.950502434808851,0.0,8.149120202428806,0.3828779275394662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
36,0,4,-1,7.0,35.0,0,0.046391098234492785,0.0,9.402041139469524,8.11701408773731,4.007333185232471,9.472781556562168,6.5998704992128365,9.267759862843668,7.96200923494198,0.6583994088721173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
24,0,3,0,18.0,34.0,1,0.14497355568700718,0.0488054021485715,9.073263272183452,8.700680734850161,4.955827057601261,9.18512512283512,9.031094081699155,8.707978826622321,9.023026373618984,0.6387733567363545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,0,0,1,1.0,34.0,0,0.0,0.0,9.032307007698005,6.621405651764134,5.204006687076795,7.576097340623111,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
36,0,3,0,21.0,34.0,0,0.11550488708984413,0.0,8.434856688337668,7.92319608156138,4.276666119016055,9.367429587218957,0.0,8.462314529906248,7.677554810908796,0.33180995649266903,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
36,0,3,1,20.0,37.0,0,0.1801593704791556,0.03794601790888736,7.945909598613133,8.925986089617076,5.356586274672012,9.521568058002977,8.029758520440822,8.720460512725655,10.639746105070753,0.18798300053510292,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
21,0,1,2,6.0,33.0,0,0.0,0.06060579810985822,8.10376647363738,7.673223121121708,4.204692619390966,8.795582216956426,8.483636407887396,8.955577146281511,9.035986984831405,0.4058583641062205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,0,21.0,33.0,0,0.0,0.0,10.007204117647433,8.867145589594143,4.532599493153256,10.725489582719506,7.970740390007095,10.726192616779704,7.662154335417081,0.3971479495694485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
